Dataset,Method,No Attack,Query Attack,Distill Attack,Fine-tune Attack
ENZYMES,M0 (Strawman),0.943,0.312,0.271,0.421
ENZYMES,M1 (Ours - SNNL),0.981,0.823,0.756,0.793
